UNITID,CONTROL,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,ICLEVEL,PREDDEG,ADM_RATE_ALL,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,TUITFTE,AVGFACSAL,PFTFAC,PCTPELL,COSTT4_A,C150_4,RET_FT4,CDR3,GRAD_DEBT_MDN,AGE_ENTRY,FAMINC,MN_EARN_WNE_P6,MN_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10,SD_EARN_WNE_P6,SD_EARN_WNE_P8,SD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_NWNE_P8,COUNT_NWNE_P10,COUNT_WNE_P6,COUNT_WNE_P8,COUNT_WNE_P10,UGDS_MEN,UGDS_WOMEN
102614,1,Public,5246,16238,1,3,,,0,0.0386,0,0.004,0.0129,0,0.0089,0.0121,0.0225,0.0837,0.0346,0.0129,0.0242,0.0072,0.0153,0.0556,0,0.0354,0.0072,0,0.037,0,0.004,0,0.0193,0,0.0282,0.0644,0.0346,0.0201,0.0282,0.0443,0.0113,0.0008,0.0209,0.1538,0.1506,0.0072,6491,9175,0.6462,0.2263,15340,0.3224,0.7756,0.125,16500,25.73109601,47398.87086,36500,40400,45100,30700,34300,38700,30500,31900,44100,206,214,271,1138,1105,1235,0.4429,0.5571
102669,2,Private,19610,19610,1,3,0.4207,1054,0,0.061,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0.1098,0,0.061,0,0,0.0366,0.1585,0,0,0.0366,0,0.0854,0,0.0854,0,0,0,0,0,0,0.0244,0.2805,0,13383,5804,0.5942,0.3152,42640,0.6,0.7742,0.077,23125,26.83941606,65329.80292,37500,41000,45300,33200,38500,40200,25000,27600,31100,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.3527,0.6473
103787,2,Private,11700,11700,1,3,,,0,0,0,0,0,0,0,0,0.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0.4545,0,3313,2491,0.6,0.75,23387,0.1765,0.4286,0.306,18835,26.35384615,20684.09231,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.4607,0.5393
104151,1,Public,10157,24503,1,3,0.7844,1135,0,0.0124,0.0166,0.0067,0.0474,0,0.0314,0,0.0427,0.0774,0.0003,0.0121,0.0237,0.0136,0.0223,0.0004,0,0.0819,0.0139,0,0.0657,0.0164,0.0084,0,0.0108,0,0.0557,0,0,0.1034,0,0,0,0,0.0759,0.0112,0.2364,0.0132,12460,10647,0.8611,0.3192,22312,0.6343,0.8609,0.073,19874,24.57639376,58630.57553,42200,48800,55500,38300,43300,47700,29100,36000,44200,1505,1462,1679,15223,12730,12854,0.5618,0.4382
104179,1,Public,10957,29421,1,3,0.7462,,0.0144,0.0116,0.0185,0.008,0.0422,0,0.0187,0,0.0443,0.0598,0.0061,0.0317,0.0262,0,0.0262,0,0,0.0992,0.0116,0,0.0651,0,0.0122,0,0.0251,0.0063,0.0791,0.0019,0.0195,0.0929,0,0,0,0,0.0499,0.0604,0.1505,0.0182,12441,10303,0.7352,0.3349,24617,0.6026,0.8189,0.06,18750,21.27081706,69586.47946,41800,48100,56000,36900,40900,47300,29200,42500,45300,598,686,774,6520,5971,6172,0.4788,0.5212
104586,2,Private,31648,31648,1,3,0.7432,,0,0,0,0,0,0,0,0,0,0.2938,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0,0.0406,0,0,0,0,0.25,0,0,0,0.3344,0,0,0.0719,0,26607,8536,0.7333,0.2501,46174,0.5841,0.8217,0.034,23250,26.26964561,53892.4379,51400,60800,70300,47900,55700,66200,31400,37000,44700,190,216,269,2947,2940,3149,0.7757,0.2243
104665,2,Private,,,1,3,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52798,5208,,,,,,0,PrivacySuppressed,,,,,,,,,,,,,,,,,,,
105330,1,Public,9990,22510,1,3,0.8099,,0,0.0338,0,0.002,0.0521,0,0.005,0,0.1284,0.0376,0,0.0051,0,0.0009,0.0272,0.107,0,0.0528,0.0057,0,0.0083,0.0345,0.0022,0,0.0183,0.0215,0.046,0,0.0125,0.0681,0,0,0,0,0.0316,0.1059,0.1875,0.0062,7331,7987,0.6458,0.3662,22561,0.5157,0.7366,0.073,20500,24.01703126,59243.18205,36900,40900,44600,34400,37200,40100,24700,29900,31600,537,562,610,5822,4728,4439,0.4238,0.5762
105367,2,Private,11670,11670,1,3,0.9947,,0,0,0,0,0.0538,0,0.0054,0,0.2312,0,0,0,0,0,0.0161,0,0,0.0054,0.0108,0,0,0,0,0,0,0,0.129,0.0161,0.1237,0,0,0,0,0,0.0108,0.0645,0.3172,0.0161,6371,6026,0.875,0.5246,,,,0.076,21665,31.21398747,46167.96608,41600,44900,48100,36500,40200,41500,28800,29100,39600,139,142,162,1247,1183,1278,0.3014,0.6986
105589,2,Private,26415,26415,1,3,0.6873,1073,0,0.1373,0.0065,0,0,0,0,0,0.281,0,0,0,0.0392,0,0.0327,0.0588,0,0.1046,0,0,0.0131,0.0784,0,0,0.0065,0,0.1438,0,0.0131,0.0523,0,0,0,0,0.0327,0,0,0,17501,4386,0.8657,0.455,41256,0.3483,0.675,0.07,24859,28.44074074,48314.96296,28500,30700,34300,25000,30400,33200,22400,21000,23200,63,61,65,372,366,365,0.4097,0.5903
