6-digit OPE ID for institution,Admission rate for all campuses rolled up to the 6-digit OPE ID,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,Proportion of faculty that is full-time,"First-time, full-time student retention rate at four-year institutions",The median debt for students who have completed,Average age of entry,Average family income in real 2015 dollars,Mean earnings of students working and not enrolled 6 years after entry,Mean earnings of students working and not enrolled 8 years after entry,Mean earnings of students working and not enrolled 10 years after entry,Nat Log Mean earnings of students working and not enrolled 10 years after entry,Average cost of attendance (academic year institutions),"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",,
1378,0.6413,1006,0.4879,0.7681,21647,22.20156076,64821.65596,38200,43300,49000,10.79957558,20372,0.5191,,
1397,0.7441,1034,0.3984,0.7639,27000,20.66437803,83123.41155,39200,46100,52300,10.86475165,48280,0.5443,,
1401,0.8302,865,0.1216,0.3946,23855,31.78475289,27370.6674,34000,40500,44300,10.69873996,40723,0.3583,,
1402,0.6722,1102,1,0.8522,26000,19.78975645,117130.0763,50100,58200,65500,11.08980542,53476,0.7627,,
1406,0.7542,921,0.4177,0.7522,23000,21.69342723,64904.85775,36200,41200,45800,10.73203937,18628,0.4944,,
1409,0.857,950,0.942,0.7707,27000,23.99473684,72386.76842,44000,45500,51200,10.84349481,42885,0.5212,,
1414,0.3178,1240,0.7414,0.9086,21328,20.24340771,141744.0649,48300,60200,71500,11.17745273,59865,0.8628,,
1416,0.6385,923,1,0.6361,27125,24.48908994,43665.8744,34300,39400,45500,10.7254676,45640,0.281,,
1417,0.532067593,1215,0.943425,0.8472,20745,20.68970743,85569.5616,46800,56100,62000,11.03488966,16214.75,0.609775,,
1422,0.6173,1053,0.4651,0.7254,26650,20.71385199,82647.66945,37900,44400,49600,10.81174611,47368,0.5871,,
1424,0.2092,1387,0.881,0.9508,18500,19.47214076,96062.09971,42000,49800,58000,10.96819829,61167,0.9154,,
1425,0.6453,1017,1,0.781,22404.5,21.13846752,78225.82575,35300,41800,46400,10.74505474,22633,0.508,,
1426,0.0705,1497,0.7281,0.9867,11472,19.60752688,90013.03091,74600,95200,118400,11.681824,59320,0.9779,,
1428,0.4168,890,0.6342,0.6523,28271,20.40161496,52331.32214,29500,32700,36600,10.50780352,20506,0.3717,,
1431,0.6468,1178,0.9598,0.9191,23500,19.7878158,115696.582,45600,54400,61300,11.02353512,21748,0.8001,,
1433,0.625,841,1,0.5249,30250,20.46929825,59628.32456,33900,40500,46000,10.73639668,35199,0.2178,,
1434,0.4312,1258,0.5764,0.8821,23250,19.90003998,105467.2007,45000,54200,64800,11.07906088,55159,0.7989,,
1436,0.5903,1042,0.1923,0.8154,21343.5,23.76699029,56865.18447,46100,57500,70100,11.15767807,30826,0.4286,,
1437,0.6007,1118,0.4848,0.8261,26000,21.59425368,126814.9937,46800,51000,58600,10.97848998,54023,0.6852,,
1443,0.6558,841,1,0.6887,14528,22.9049505,35438.87129,26500,32700,31700,10.36407196,29852,0.4828,,
1444,0.3308,1297,0.4853,0.9226,24800,21.01943347,97124.09849,58400,67800,80500,11.29601246,58925,0.8083,,
1445,0.1697,1398,0.5314,0.9598,17125,20.87137891,103225.0435,78100,101000,118900,11.68603808,59900,0.9245,,
1448,0.493,1081,0.7495,0.8154,27000,20.63852879,59942.86042,38800,46400,51800,10.85514543,40129,0.6065,,
1466,0.4678,930,0.4266,0.5997,28125,26.53159442,40006.6363,43400,45100,49600,10.81174611,41019,0.3729,,
1467,0.666,812,0.8436,0.6298,34000,20.63227308,32474.23817,24400,28100,31700,10.36407196,27017,0.3752,,
1468,0.8785,904,1,0.6184,20471,24.5042735,41491.06325,43700,51200,56400,10.94022444,37090,0.3829,,
1469,0.604487852,1153,0.99825,0.7974,25250,30.70111916,37738.88128,48700,48800,62600,11.04452056,51807,0.5437,,
1473,0.7009,1026,0.56,0.5826,19250,20.54474708,49431.89883,28100,37400,42300,10.65254237,28463,0.5366,,
1478,0.2732,802,0.5696,0.509,28122,22.4893918,25703.16407,22400,23700,27800,10.2327913,22929,0.2,,
1479,0.781386846,1126,0.658433333,0.741,23750,26.49547691,52226.95842,49300,59500,67200,11.11542853,37269.33333,0.5535,,
1480,0.45,947,0.9972,0.8152,26000,20.96134364,37562.05332,31600,38700,43600,10.68281243,19191,0.4096,,
1481,0.4773,1039,0.6812,0.765,15000,23.62462312,42312.40678,36700,42200,46200,10.74073508,19131,0.4105,,
1487,0.7104,1138,0.6907,0.8321,27000,23.47472528,84360.48901,34900,39300,48400,10.78725509,49802,0.6617,,
1488,0.4989,1102,1,0.778,24500,22.12374582,70512.32692,37000,38200,42700,10.6619542,38413,0.5816,,
1489,0.5681,1212,0.8017,0.9171,20000,20.98958073,65077.03159,37800,45300,51400,10.84739345,20774,0.7695,,
1495,0.4737,1010,0.9793,0.7172,20833,28.39259259,61779.73778,46000,47800,54800,10.91144547,42459,0.3821,,
1505,0.776,940,0.8182,0.6925,17687.5,22.52105263,76174.17895,37700,40500,45600,10.727663,48735,0.4128,,
1509,0.5746,1084,0.4052,0.7112,24750,26.08859935,44847.35407,45300,51600,53300,10.88369161,40783,0.4049,,
1515,0.5889,1199,1,0.834,26000,23.12105799,74585.90641,38500,42300,51600,10.85127695,56309,0.6705,,
1521,0.5932,955,1,0.6868,22500,22.25294748,53063.52787,30100,33400,35700,10.48290597,30333,0.3835,,
1531,0.5925,1168,0.6189,0.7806,27000,20.04702628,73898.86307,35300,44700,45400,10.72326738,49939,0.6409,,
1535,0.4655,1272,0.853,0.9646,15000,20.80057389,56265.07107,47000,55200,62600,11.04452056,20456,0.8654,,
1536,0.4044,1332,0.7471,0.9134,21750,20.97054747,89213.49203,54000,60400,70200,11.15910359,57700,0.8169,,
1537,0.449904361,1154,0.597433333,0.74345,18750,23.09697801,47187.47434,36400,41200,46500,10.74720759,18924,0.5297,,
1538,0.5221,1075,1,0.751,25000,20.58101473,86437.68805,40100,45900,51800,10.85514543,37714,0.6159,,
1540,0.641175461,941,0.8085,0.6129,20000,21.77930306,51876.69694,29900,33600,36400,10.50232405,36708,0.39795,,
1544,0.1992,887,0.8679,0.697,30792,24.07111756,29223.5612,27400,29800,34800,10.45737267,19025,0.4249,,
1546,0.6998,997,0.9627,0.6736,18750,23.39362618,47208.44846,34800,39700,42400,10.65490364,19802,0.343,,
1547,0.5353,946,0.3763,0.4843,30500,27.04518072,46839.35743,26600,30400,35000,10.46310334,27497,0.4776,,
1554,0.6032,1186,0.865,0.7945,23500,19.567889,82733.44301,30400,39000,41700,10.63825641,40965,0.6015,,
1556,0.7829,957,0.4601,0.6686,27000,29.02864157,41642.95008,36900,41100,43600,10.68281243,34107,0.4554,,
1557,0.5137,896,1,0.597,20760,20.81627907,45899.23721,26100,32200,32800,10.39818379,22499,0.1867,,
1559,0.568,880,0.5904,0.6506,31246,20.00161638,37741.36746,26800,31000,38400,10.55581274,34201,0.3893,,
1561,0.5543,984,0.6241,0.6648,22708,23.95354906,44607.00418,30500,33500,37400,10.52942598,17029,0.3012,,
1563,0.4783,935,0.6145,0.6406,26000,20.36923077,56369.47033,24800,30400,32200,10.37972173,23842,0.4571,,
1564,0.2633,1363,0.6792,0.9438,19500,21.10741088,79755.91229,61700,71600,81500,11.3083583,58180,0.8961,,
1566,0.3273,830,0.9753,0.5858,33538,21.72285543,30446.18956,25000,28400,32000,10.37349118,19801,0.3017,,
1569,0.5493,1352,0.9568,0.9552,22000,20.49728649,86932.08769,62100,70900,82600,11.32176496,21980,0.8219,,
1570,0.7798,1123,0.7288,0.7241,25119,23.73868458,49637.69731,47200,52100,57300,10.9560559,16546,0.3657,,
1572,0.52,1094,0.8801,0.8048,21000,20.95855232,65128.29658,34600,40000,44800,10.70996342,21513,0.5046,,
1573,0.6803,950,0.9658,0.6497,18400,25.14848883,43966.28318,31400,35000,38100,10.54796956,17839,0.3582,,
1574,0.5466,1060,0.9722,0.8232,21500,23.42163443,38796.41577,36200,41100,46200,10.74073508,23124,0.5315,,
1577,0.5654,1068,0.5638,0.7564,21000,23.2554978,53777.17665,36100,41400,44700,10.70772878,20630,0.4338,,
1578,0.5837,995,1,0.6111,26888,21.36952998,62572.21556,33300,38500,44500,10.70324447,37305,0.375,,
1579,0.4103,1002,1,0.6762,8748.5,24.68732101,46646.56496,55200,64700,63300,11.05564061,7715,0.2935,,
1580,0.69,1171,0.9752,0.8202,25000,27.85050917,55379.90631,44300,51500,57300,10.9560559,46382,0.5947,,
1582,0.6684,990,0.7723,0.8007,27000,19.83333333,62913.1218,33300,40900,48000,10.77895629,45451,0.5383,,
1585,0.6102,1009,0.8824,0.7964,15000,22.9301954,53583.33059,34900,41300,44100,10.69421506,16525,0.2597,,
1586,0.5576,1131,1,0.7942,27000,21.54492188,61260.625,37400,40300,49800,10.81577026,43689,0.6201,,
1587,0.4377,778,0.76,0.6763,37342.5,21.02105263,28544.71729,19900,24200,28400,10.25414442,21516,0.2093,,
1588,0.6118,1001,0.5138,0.7019,22325,24.61125,53550.3175,39200,38700,41000,10.62132735,32031,0.4611,,
1590,0.8299,847,0.9859,0.7024,31239.5,20.48419722,34438.20512,25100,29000,33600,10.42228135,15531,0.2908,,
1591,0.6807,954,0.6753,0.7076,26083.5,28.25919732,49043.78177,35600,44500,49300,10.80567936,30642,0.4638,,
1594,0.3802,1024,0.704,0.8808,27000,19.49520154,69458.73608,33700,41000,51300,10.84544603,41635,0.6763,,
1596,0.494,1000,0.5208,0.7514,22388.5,22.19926199,48251.85793,25200,27300,29900,10.30561376,30178,0.4679,,
1597,0.8064,939,0.9048,0.6402,19500,21.96098563,53890.90349,25500,31000,35500,10.47728798,26484,0.284,,
1598,0.5608,1247,0.8804,0.9417,17750,20.54577168,80938.4582,42800,50200,56400,10.94022444,21162,0.8314,,
1599,0.5522,1033,0.9671,0.6885,23750,22.06368198,50652.27789,31800,35700,40300,10.60410675,20958,0.4017,,
1600,0.4339,982,1,0.6612,26750,22.23828125,41621.71094,25800,32200,36100,10.49404814,30878,0.6389,,
1601,0.5385,950,0.8225,0.7147,21693,21.55265527,52614.23258,32600,36900,40400,10.60658506,18879,0.4287,,
1602,0.6798,1126,0.775,0.8459,20500,20.55756208,83151.97382,34400,38600,43300,10.67590791,23052,0.6115,,
1604,0.5365,980,0.6726,0.614,25973.5,19.79564033,65043.73978,27300,34200,39100,10.57387775,34007,0.2928,,
1605,0.8359,972,1,0.7296,20400,24.66405638,38790.47298,32400,35000,41300,10.62861778,30801,0.3843,,
1606,0.3604,1081,1,0.6132,9400,21.97151899,44316.3154,33100,40600,48300,10.78518684,14544,0.4703,,
1610,0.8009,1087,0.7777,0.7787,18699.5,22.55504097,56058.59939,37800,44800,49300,10.80567936,18491,0.5651,,
1611,0.752,967,0.7556,0.6982,18250,24.30765172,40322.52348,30800,36200,38100,10.54796956,15284,0.3642,,
1616,0.7766,1050,0.5643,0.7129,22000,24.29426182,52608.52451,33300,37400,41600,10.63585545,18088,0.3801,,
1617,0.905,1070,0.6328,0.8799,25269,20.3715847,64661.03461,29900,37200,45700,10.72985358,34555,0.6652,,
