UNITID,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,SAT_AVG_ALL,TUITFTE,GRAD_DEBT_MDN,FAMINC,MEAN_EARN_6,MEAN_EARN_8,MEAN_EARN_10
199193,Public,8296,23551,1253,8400,20239.5,78696.67411,45000,50700,59500
199209,Private,27400,27400,923,11484,21956,33699.66032,34800,37700,41900
199218,Public,6392,20420,1145,7246,20500,70766.31211,36900,41900,46600
199272,Private,24650,24650,890,10837,23419.5,48255.42027,32200,32300,36900
199281,Public,5287,15239,930,3982,20500,41593.44915,28900,33200,36400
199306,Private,25855,25855,948,11159,23701,60473.28594,35700,39700,45000
199315,Private,9580,9580,937,6929,19500,35498,27400,31000,36600
199412,Private,30910,30910,1051,14527,25146,67351.40745,42200,43300,49400
199458,Private,12800,12800,983,7070,33685,36464.60366,24900,31600,33000
199582,Private,17890,17890,740,7393,35198,30098.49168,23800,26000,30000
199607,Private,25356,25356,1102,7258,24843.5,45255.83929,29800,33900,37400
199643,Private,16480,16480,,14108,39871,27823.24909,25100,27900,30500
199698,Private,23682,23682,946,8660,21500,52810.35987,31900,35600,40100
199759,Private,7682,7682,,6039,PrivacySuppressed,,,,
199847,Private,46200,46200,,29439,22167,118942.3416,62900,68800,79600
199865,Private,30852,30852,1134,14211,23250,62027.96732,21400,25400,29500
199962,Private,26300,26300,1001,11874,26500,66604.11857,36000,48600,55700
199971,Private,4025,4025,,3424,PrivacySuppressed,24486.42105,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
199999,Public,5583,15113,859,4270,27000,39608.77069,31600,33800,37200
200004,Public,6305,16698,1035,5595,21613.5,58320.38453,33400,36800,41300
200059,Public,6050,8495,957,5031,19275,60275.05172,42300,49000,49300
200156,Private,19170,19170,1178,8385,27000,82120.78846,39600,44500,49600
200217,Private,15665,15665,1050,14103,22500,81648.36406,46700,50100,53000
200226,Public,6489,8894,,4986,21269,61124.41969,35700,39000,43300
200253,Public,6225,6225,1035,5703,18803.5,57059.36093,38300,43300,46900
200280,Public,7741,18409,1090,9624,23250,83027.10936,45400,53600,57800
200332,Public,7940,18969,1092,8007,23500,85788.48833,45200,51900,55500
200484,Private,14620,14620,946,12487,27177,52346.71533,26900,32900,31700
200572,Public,6674,15070,1020,5485,21475,65217.47273,37500,42500,41700
200800,Public,10260,18792,1050,9669,25736.5,54569.57918,33900,38500,41800
201061,Private,26376,26376,961,24839,27000,57883.3629,25700,25500,30100
201104,Private,19852,19852,1048,11756,27000,65051.07069,36000,40000,42900
201195,Private,28814,28814,,15412,27000,71168.00649,39100,44600,49200
201371,Private,29316,29316,1029,10650,27000,62703.84865,35500,40600,41700
201441,Public,10726,18034,1012,8806,25908.5,67733.95642,33500,39300,45300
201548,Private,32190,32190,1100,14480,27000,69305.68091,36400,42400,48400
201645,Private,43158,43158,1375,22634,24066.5,91981.72693,69900,79300,89300
201654,Private,26420,26420,1187,15888,24600,86942.33553,38200,44300,46800
201690,Public,6246,13928,804,3706,39510.5,26767.85332,23000,25100,28600
201858,Private,15266,15266,969,9294,26811.5,59753.16193,31100,32300,36800
201885,Public,11000,26334,1165,12556,22736,67120.9222,39600,44400,49700
201964,Private,17720,17720,930,9396,25750,26775.37668,32600,34200,33000
202046,Private,37565,37565,1048,18821,29000,62843.9078,32900,37900,41600
202073,Private,46027,46027,,24790,26250,90718.07937,26000,33800,45200
202134,Public,9686,12928,1014,10568,21500,46279.6593,37200,42000,46400
202170,Private,30390,30390,1044,30430,27000,64234.9962,30300,32300,39800
202480,Private,37230,37230,1194,20574,26000,128736.8095,48300,55800,61400
202514,Private,29916,29916,975,14156,27000,63393.60668,32900,39500,46500
202523,Private,45670,45670,,22338,25000,103642.7815,41600,50900,57600
202763,Private,30640,30640,1035,14500,23250,76987.95629,44200,53100,49100
202806,Private,11161,11161,,13717,23100,35107.79815,42600,48500,53800
202903,Private,7010,7010,,5559,PrivacySuppressed,37480.23016,22700,26200,24800
203085,Private,27480,27480,1027,12529,29000,68220.41589,33600,37800,45700
203128,Private,30290,30290,1004,15431,27000,55252.59738,36300,42500,46900
203368,Private,35800,35800,1116,12841,27000,103704.9848,40500,51400,61100
203517,Public,10012,17972,1050,9926,25500,58073.78496,33500,38500,42400
203535,Private,47330,47330,1332,29409,19000,141183.8702,39100,49500,54500
203580,Private,28354,28354,966,9994,27000,69395.35193,32500,35100,40600
203757,Private,18353,18353,950,15645,30460,53646.12748,36500,38000,41300
203775,Private,26416,26416,1045,11900,25000,64396.05269,39800,44200,48100
203845,Private,33140,33140,1105,16189,27000,76830.77508,45400,46500,57700
204006,Public,5173,14449,1240,5198,25000,91301.51275,40800,48800,55400
204015,Public,5173,14449,1240,4856,25000,91301.51275,40800,48800,55400
204024,Public,14287,30391,1240,16027,25000,91301.51275,40800,48800,55400
204176,Private,12016,12016,1030,12094,19000,68161.90264,54900,56700,58100
204185,Private,27990,27990,1057,13981,27000,81449.3678,36600,44600,48600
204194,Private,24650,24650,1046,12358,25740.5,59479.61569,39300,45000,50000
204200,Private,26850,26850,1005,15340,28000,64637.72949,36100,40600,44600
204264,Private,24676,24676,1009,11311,27000,58656.24636,34400,38500,43500
204468,Private,26844,26844,937,12090,27000,55494.54095,37000,37900,43900
204501,Private,48682,48682,1349,29026,26000,130095.7312,30700,41300,45500
204617,Private,29430,29430,1005,11936,28359,58541.47395,37400,43900,47100
204635,Private,28050,28050,1180,16986,27000,84418.91418,59600,65600,72600
204671,Public,7140,23640,1292,7037,21641,78233.45481,41500,47400,53600
204796,Public,10037,26537,1292,12627,21641,78233.45481,41500,47400,53600
204857,Public,10602,19566,1106,10710,20750,67299.69552,35900,41200,45800
204909,Private,41920,41920,,14320,27000,96118.01202,33900,44300,51600
204936,Private,31442,31442,1094,15914,27000,84553.83933,37200,41900,46900
205027,Private,21038,21038,1280,20970,PrivacySuppressed,78800.96552,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
205124,Private,9900,9900,,8642,PrivacySuppressed,48028.83333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
205443,Public,7364,12617,,6168,23000,44074.59859,28600,32500,37500
205957,Private,23930,23930,1183,14786,23250,107216.4136,34800,40200,42700
206048,Private,21535,21535,,8607,25451,48506.85422,36600,41900,47900
206084,Public,9463,18801,1031,10857,23500,58520.6795,37900,45100,52800
206154,Private,7800,7800,,9234,PrivacySuppressed,27096.25926,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
206279,Private,11904,11904,,17961,18675,65408.85315,64200,59900,55000
206330,Private,22012,22012,,9599,27000,51400.88298,34200,37300,40400
206349,Private,27700,27700,1014,17430,27812,54140.61017,43700,46500,50400
206437,Private,26650,26650,1043,12797,27783.5,69830.36896,40900,47500,48300
206491,Private,15140,15140,735,8198,16750,28698.95156,27300,31100,38400
206507,Private,29120,29120,970,10386,27029,60544.20983,33000,37600,41900
206525,Private,38030,38030,,13947,27000,78896.44444,37800,44100,49000
206589,Private,43350,43350,1229,17476,26000,98360.16715,34300,45700,53000
206604,Public,8730,16910,,9474,25000,53369.50502,34500,39300,46100
206613,Public,5842,14022,,6945,25000,53369.50502,34500,39300,46100
206622,Private,33960,33960,1113,16573,27000,103727.2026,44800,50400,58200
206695,Public,8317,8557,985,7788,26125,46655.82332,32200,37200,40200
206835,Private,23180,23180,999,11951,20832,64656.06615,50500,49900,53500
206862,Private,22690,22690,,12732,18750,58051.35562,45400,48800,54000
206914,Public,5340,13380,,4331,16719,33747.70588,30400,34400,38200
206941,Public,5806,14286,990,7537,20268,48396.63779,36900,40900,44900
207041,Public,5599,13512,1005,4494,17750,41422.79252,33200,38500,42200
207157,Private,11980,11980,940,9026,19000,49452.96407,30500,35900,38700
207209,Public,4603,11589,,3466,25790.5,29653.07895,25400,28800,31100
207263,Public,5285,12635,1009,4135,17106,40592.82154,33500,36500,41000
207306,Public,5843,12293,930,3514,14000,48240.81548,34600,37800,41700
207324,Private,19120,19120,1127,8657,24500,77741.19744,36300,36900,43300
207342,Public,,,1189,12429,19375,72079.24574,48600,56000,61900
207351,Public,7137,7137,910,4523,17938,45091.67843,33800,38600,40800
207388,Public,7442,20027,1137,11033,19982.5,69138.29541,42600,50500,55300
207403,Private,22800,22800,1171,9773,25682.5,63753.73171,33500,38100,45000
207458,Private,30726,30726,1165,16782,23636,76218.40576,40700,46600,51100
